file,label,category,duration_sec,loopable,default_volume,license,source_url,notes
triggers/distant_bell/distant_bell_01.wav,distant_bell,long_tail_trigger,14.375,false,0.3,CC0,https://freesound.org/people/TuneSeeker/sounds/802078/,Distant church bells by TuneSeeker; fs_loopable=False
triggers/distant_bell/distant_bell_02.wav,distant_bell,long_tail_trigger,7.503,false,0.3,CC0,https://freesound.org/people/mudflea2/sounds/703590/,distant church wedding bells by mudflea2; fs_loopable=False
triggers/distant_bell/distant_bell_03.wav,distant_bell,long_tail_trigger,12.046,false,0.3,CC0,https://freesound.org/people/TRP/sounds/570981/,180520 Bell church distant noisy BAHAMAS.flac by TRP; fs_loopable=True
triggers/vinyl_crackle/vinyl_crackle_01.wav,vinyl_crackle,loop,13.719,true,0.25,CC0,https://freesound.org/people/deleted_user_2906614/sounds/235844/,Bossa Rover by deleted_user_2906614; fs_loopable=True
triggers/vinyl_crackle/vinyl_crackle_02.wav,vinyl_crackle,loop,62.006,true,0.25,CC0,https://freesound.org/people/deleted_user_2906614/sounds/266786/,"Vinyl snap, crackle and pop redux by deleted_user_2906614"
triggers/tv_static/tv_static_02.wav,tv_static,loop,11.935,true,0.25,CC0,https://freesound.org/people/f-r-a-g-i-l-e/sounds/478760/,Sixties TV Static by f-r-a-g-i-l-e [from hq-mp3 preview]; fs_loopable=True
triggers/radio_static/radio_static_01.wav,radio_static,texture,5.959,false,0.25,CC0,https://freesound.org/people/9voltplasma/sounds/724699/,Squeaky Radio Static - Industrial SFX by 9voltplasma; fs_loopable=False
triggers/radio_static/radio_static_02.wav,radio_static,texture,6.236,false,0.25,CC0,https://freesound.org/people/9voltplasma/sounds/724700/,Grungy Radio Static - Industrial SFX by 9voltplasma; fs_loopable=False
triggers/electronic_hum/electronic_hum_01.wav,electronic_hum,loop,25.323,true,0.3,CC0,https://freesound.org/people/recklessgoomba/sounds/464967/,Tremolo Feedback 2.m4a by recklessgoomba [from hq-mp3 preview]; fs_loopable=True
triggers/electronic_hum/electronic_hum_02.wav,electronic_hum,loop,106.0,true,0.3,CC0,https://freesound.org/people/decembered/sounds/259228/,Outdoors cabin substation by decembered
triggers/snow_crunch/snow_crunch_01.wav,snow_crunch,trigger,8.007,false,0.4,CC0,https://freesound.org/people/dtown1220/sounds/263399/,Snow Walk by dtown1220; fs_loopable=False
triggers/snow_crunch/snow_crunch_02.wav,snow_crunch,trigger,10.0,false,0.4,CC0,https://freesound.org/people/perspektywa_tn/sounds/844091/,footsteps_snow_long by perspektywa_tn; fs_loopable=True
triggers/snow_crunch/snow_crunch_03.wav,snow_crunch,trigger,9.07,false,0.4,CC0,https://freesound.org/people/Splashdust/sounds/456149/,SnowWalkLight.wav by Splashdust; fs_loopable=False
triggers/blizzard_wind/blizzard_wind_01.wav,blizzard_wind,loop,59.0,true,0.4,CC0,https://freesound.org/people/cobratronik/sounds/117136/,Wind__Artic__Cold.wav by cobratronik
triggers/blizzard_wind/blizzard_wind_02.wav,blizzard_wind,loop,32.877,true,0.4,CC0,https://freesound.org/people/jpnien/sounds/97397/,Wind strong JPN.wav by jpnien
triggers/fireplace_tea_boil/fireplace_tea_boil_01.wav,fireplace_tea_boil,loop,87.441,true,0.4,CC0,https://freesound.org/people/unfa/sounds/174499/,Boiling Towel by unfa
triggers/fireplace_tea_boil/fireplace_tea_boil_02.wav,fireplace_tea_boil,loop,61.1,true,0.4,CC0,https://freesound.org/people/bassimat/sounds/862622/,Sausages Sizzling in a Pan with Boiling Eggs Kitchen Ambience by bassimat
triggers/singing_bowl/singing_bowl_01.wav,singing_bowl,long_tail_trigger,18.762,false,0.3,CC0,https://freesound.org/people/airtaxi/sounds/76888/,Small bowl.wav by airtaxi; fs_loopable=False
triggers/singing_bowl/singing_bowl_02.wav,singing_bowl,long_tail_trigger,20.498,false,0.3,CC0,https://freesound.org/people/dersinnsspace/sounds/417116/,Tibetan bowl_right hit.wav by dersinnsspace; fs_loopable=False
triggers/singing_bowl/singing_bowl_03.wav,singing_bowl,long_tail_trigger,12.333,false,0.3,CC0,https://freesound.org/people/the_very_Real_Horst/sounds/240934/,NEPTUN-Solo-07 Tibetan Singing Bowl by the_very_Real_Horst; fs_loopable=False
triggers/wind_chime_bronze/wind_chime_bronze_01.wav,wind_chime_bronze,long_tail_trigger,5.99,false,0.3,CC0,https://freesound.org/people/ceich93/sounds/266397/,Gong14.wav by ceich93; fs_loopable=False
triggers/tv_static/tv_static_03.wav,tv_static,loop,90.0,true,0.25,CC0,https://freesound.org/people/ShawnyBoy/sounds/165395/,White Noise.wav by ShawnyBoy [from hq-mp3 preview]
